,LAT,CORR
0,20.5,-0.2417288014881663
1,21.5,-0.23724003612117897
2,22.5,-0.2375027033318517
3,23.5,-0.24016877219227062
4,24.5,-0.23581289343201606
5,25.5,-0.2395994409909035
6,26.5,-0.23307540377429165
7,27.5,-0.20893810027550805
8,28.5,-0.1927060797175738
9,29.5,-0.17067717994131462
10,30.5,-0.14943718798903305
11,31.5,-0.13838495341693063
12,32.5,-0.13304206646930133
13,33.5,-0.12918659979996208
14,34.5,-0.11552971029191342
15,35.5,-0.08918622521482118
